UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,Total,NACIMIENTOS,POBLACION_FEMENINA_TOTAL,GESTANTES_ESPERADAS,Lat,Lon
130604,LA LIBERTAD,OTUZCO,CHARAT,2836,68,1588,81,,
130605,LA LIBERTAD,OTUZCO,HUARANCHAL,4540,121,2689,127,,
130606,LA LIBERTAD,OTUZCO,LA CUESTA,681,18,384,27,,
130608,LA LIBERTAD,OTUZCO,MACHE,3079,54,1721,90,,
130610,LA LIBERTAD,OTUZCO,PARANDAY,571,22,410,31,,
130611,LA LIBERTAD,OTUZCO,SALPO,6853,92,3421,190,,
130613,LA LIBERTAD,OTUZCO,SINSICAP,8011,187,4685,238,,
130614,LA LIBERTAD,OTUZCO,USQUIL,24680,577,14778,753,,
130701,LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,19713,287,8900,344,,
130702,LA LIBERTAD,PACASMAYO,GUADALUPE,44796,740,23720,1068,,
130703,LA LIBERTAD,PACASMAYO,JEQUETEPEQUE,4557,87,2031,102,,
130704,LA LIBERTAD,PACASMAYO,PACASMAYO,32465,518,14618,629,,
130705,LA LIBERTAD,PACASMAYO,SAN JOSE,13104,224,6722,272,,
130801,LA LIBERTAD,PATAZ,TAYABAMBA,14344,282,7916,408,,
130802,LA LIBERTAD,PATAZ,BULDIBUYO,4321,101,2042,139,,
130803,LA LIBERTAD,PATAZ,CHILLIA,13175,450,7205,521,,
130804,LA LIBERTAD,PATAZ,HUANCASPATA,6701,191,3543,257,,
130805,LA LIBERTAD,PATAZ,HUAYLILLAS,1295,60,1935,96,,
130806,LA LIBERTAD,PATAZ,HUAYO,3970,82,2364,148,,
130807,LA LIBERTAD,PATAZ,ONGON,1477,21,997,51,,
130808,LA LIBERTAD,PATAZ,PARCOY,21276,580,13481,936,,
130809,LA LIBERTAD,PATAZ,PATAZ,10441,344,4808,372,,
130810,LA LIBERTAD,PATAZ,PIAS,1889,38,779,42,,
130811,LA LIBERTAD,PATAZ,SANTIAGO DE CHALLAS,2491,41,1404,75,,
130812,LA LIBERTAD,PATAZ,TAURIJA,3133,49,1586,80,,
130813,LA LIBERTAD,PATAZ,URPAY,2321,89,1579,90,,
130901,LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,76108,1219,34103,1900,,
130902,LA LIBERTAD,SANCHEZ CARRION,CHUGAY,19521,512,10086,678,,
130903,LA LIBERTAD,SANCHEZ CARRION,COCHORCO,10057,244,5034,362,,
130904,LA LIBERTAD,SANCHEZ CARRION,CURGOS,8964,250,4593,306,,
130905,LA LIBERTAD,SANCHEZ CARRION,MARCABAL,12452,376,8989,556,,
130906,LA LIBERTAD,SANCHEZ CARRION,SANAGORAN,14873,291,7895,533,,
130907,LA LIBERTAD,SANCHEZ CARRION,SARIN,10025,261,5424,377,,
130908,LA LIBERTAD,SANCHEZ CARRION,SARTIMBAMBA,14399,358,7173,476,,
131001,LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,21064,422,11072,605,,
131002,LA LIBERTAD,SANTIAGO DE CHUCO,ANGASMARCA,5391,112,4172,201,,
131003,LA LIBERTAD,SANTIAGO DE CHUCO,CACHICADAN,6200,120,4487,226,,
131004,LA LIBERTAD,SANTIAGO DE CHUCO,MOLLEBAMBA,1933,56,1284,76,,
131005,LA LIBERTAD,SANTIAGO DE CHUCO,MOLLEPATA,2620,43,1522,83,,
131006,LA LIBERTAD,SANTIAGO DE CHUCO,QUIRUVILCA,14367,405,7822,461,,
131007,LA LIBERTAD,SANTIAGO DE CHUCO,SANTA CRUZ DE CHUCA,3227,80,1814,96,,
131008,LA LIBERTAD,SANTIAGO DE CHUCO,SITABAMBA,3810,52,1895,136,,
131101,LA LIBERTAD,GRAN CHIMU,CASCAS,15118,231,7628,311,,
131102,LA LIBERTAD,GRAN CHIMU,LUCMA,5277,208,3757,214,,
131103,LA LIBERTAD,GRAN CHIMU,MARMOT,2679,67,1189,91,,
131104,LA LIBERTAD,GRAN CHIMU,SAYAPULLO,7046,157,4394,234,,
131201,LA LIBERTAD,VIRU,VIRU,58345,1793,35609,2137,,
131202,LA LIBERTAD,VIRU,CHAO,36374,1271,21356,1389,,
131203,LA LIBERTAD,VIRU,GUADALUPITO,7689,261,5170,264,,
140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,294380,3877,153844,5346,,
140102,LAMBAYEQUE,CHICLAYO,CHONGOYAPE,19957,313,9692,430,,
140103,LAMBAYEQUE,CHICLAYO,ETEN,13020,177,5710,241,,
140104,LAMBAYEQUE,CHICLAYO,ETEN PUERTO,2513,30,1205,47,,
140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,170581,3218,102014,4382,,
140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,97701,1432,49243,1952,,
140107,LAMBAYEQUE,CHICLAYO,LAGUNAS,10899,166,5525,230,,
140108,LAMBAYEQUE,CHICLAYO,MONSEFU,35368,594,16978,822,,
140109,LAMBAYEQUE,CHICLAYO,NUEVA ARICA,2623,27,1243,38,,
140110,LAMBAYEQUE,CHICLAYO,OYOTUN,9052,148,5310,201,,
140111,LAMBAYEQUE,CHICLAYO,PICSI,13924,142,5198,201,,
140112,LAMBAYEQUE,CHICLAYO,PIMENTEL,49058,749,24018,1020,,
140113,LAMBAYEQUE,CHICLAYO,REQUE,17186,202,8103,284,,
140114,LAMBAYEQUE,CHICLAYO,SANTA ROSA,13568,287,6783,390,,
140115,LAMBAYEQUE,CHICLAYO,SANA,12910,187,6788,261,,
140116,LAMBAYEQUE,CHICLAYO,CAYALTI,16364,188,8687,261,,
140117,LAMBAYEQUE,CHICLAYO,PATAPO,25034,356,11977,488,,
140118,LAMBAYEQUE,CHICLAYO,POMALCA,27193,401,13875,555,,
140119,LAMBAYEQUE,CHICLAYO,PUCALA,9477,92,4796,128,,
140120,LAMBAYEQUE,CHICLAYO,TUMAN,30656,399,16159,549,,
140201,LAMBAYEQUE,FERRENAFE,FERRENAFE,37988,585,18811,823,,
140202,LAMBAYEQUE,FERRENAFE,CANARIS,12608,395,7730,538,,
140203,LAMBAYEQUE,FERRENAFE,INCAHUASI,15218,379,8264,518,,
140204,LAMBAYEQUE,FERRENAFE,MANUEL ANTONIO MESONES MURO,4295,102,2327,132,,
140205,LAMBAYEQUE,FERRENAFE,PITIPO,22299,431,12592,598,,
140206,LAMBAYEQUE,FERRENAFE,PUEBLO NUEVO,15567,285,7092,395,,
140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,78543,1291,41187,1767,,
140302,LAMBAYEQUE,LAMBAYEQUE,CHOCHOPE,1523,19,603,30,,
140303,LAMBAYEQUE,LAMBAYEQUE,ILLIMO,9729,147,5092,208,,
140304,LAMBAYEQUE,LAMBAYEQUE,JAYANCA,19480,361,9526,499,,
140305,LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,20060,338,10006,461,,
140306,LAMBAYEQUE,LAMBAYEQUE,MORROPE,53207,994,24464,1351,,
140307,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,32604,472,14369,654,,
140308,LAMBAYEQUE,LAMBAYEQUE,OLMOS,52681,796,21376,1093,,
140309,LAMBAYEQUE,LAMBAYEQUE,PACORA,8641,143,3896,199,,
140310,LAMBAYEQUE,LAMBAYEQUE,SALAS,13869,286,7111,389,,
140311,LAMBAYEQUE,LAMBAYEQUE,SAN JOSE,16785,422,8640,571,,
140312,LAMBAYEQUE,LAMBAYEQUE,TUCUME,24224,454,12323,620,,
150101,LIMA,LIMA,LIMA,293647,3539,161270,4501,,
150102,LIMA,LIMA,ANCON,69243,835,23381,1078,,
150103,LIMA,LIMA,ATE,642828,11751,344453,15139,,
150104,LIMA,LIMA,BARRANCO,38748,318,17856,424,,
150105,LIMA,LIMA,BRENA,97431,950,44221,1258,,
150106,LIMA,LIMA,CARABAYLLO,360561,5809,168838,7478,,
150107,LIMA,LIMA,CHACLACAYO,46242,675,25125,876,,
150108,LIMA,LIMA,CHORRILLOS,356549,5042,180204,6547,,
150109,LIMA,LIMA,CIENEGUILLA,36780,975,26316,1265,,
150110,LIMA,LIMA,COMAS,581447,8827,292184,11468,,
150111,LIMA,LIMA,EL AGUSTINO,220858,3375,107361,4375,,
150112,LIMA,LIMA,INDEPENDENCIA,230144,3488,118398,4519,,
150113,LIMA,LIMA,JESUS MARIA,85499,626,43222,828,,
150114,LIMA,LIMA,LA MOLINA,166442,1776,99915,2323,,
150115,LIMA,LIMA,LA VICTORIA,200770,2518,95451,3289,,
150116,LIMA,LIMA,LINCE,63861,457,28888,612,,
150117,LIMA,LIMA,LOS OLIVOS,362222,6089,209148,7914,,
150118,LIMA,LIMA,LURIGANCHO,230978,3801,104651,4275,,
150144*,LIMA,LIMA,SANTA MARIA DE HUACHIPA /1,32826,559,15951,712,,
150119,LIMA,LIMA,LURIN,99846,1765,45807,2272,,
150120,LIMA,LIMA,MAGDALENA DEL MAR,67156,557,32436,738,,
150121,LIMA,LIMA,PUEBLO LIBRE,97427,747,46823,988,,
150122,LIMA,LIMA,MIRAFLORES,114188,653,48875,870,,
150123,LIMA,LIMA,PACHACAMAC,123627,2817,69733,3607,,
150124,LIMA,LIMA,PUCUSANA,15507,391,9259,500,,
150125,LIMA,LIMA,PUENTE PIEDRA,361606,7334,189457,9420,,
150126,LIMA,LIMA,PUNTA HERMOSA,17408,145,4210,189,,
150127,LIMA,LIMA,PUNTA NEGRA,7836,125,4398,159,,
150128,LIMA,LIMA,RIMAC,190288,2375,94326,3106,,
150129,LIMA,LIMA,SAN BARTOLO,8375,118,4281,148,,
150130,LIMA,LIMA,SAN BORJA,134317,1017,64291,1343,,
150131,LIMA,LIMA,SAN ISIDRO,72942,422,33347,566,,
150132,LIMA,LIMA,SAN JUAN DE LURIGANCHO,1150470,20366,597815,26305,,
150133,LIMA,LIMA,SAN JUAN DE MIRAFLORES,421017,6495,230003,8424,,
150134,LIMA,LIMA,SAN LUIS,59084,774,32537,1010,,
150135,LIMA,LIMA,SAN MARTIN DE PORRES,740749,10994,396265,14279,,
150136,LIMA,LIMA,SAN MIGUEL,175411,1511,81725,1991,,
150137,LIMA,LIMA,SANTA ANITA,221039,4235,126967,5477,,
150138,LIMA,LIMA,SANTA MARIA DEL MAR,1090,13,967,38,,
150139,LIMA,LIMA,SANTA ROSA,29860,336,10313,428,,
150140,LIMA,LIMA,SANTIAGO DE SURCO,410587,3695,201879,4852,,
150141,LIMA,LIMA,SURQUILLO,105715,1096,55410,1438,,
150142,LIMA,LIMA,VILLA EL SALVADOR,429509,8611,250733,11085,,
150143,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,440575,8088,246583,10443,,
150201,LIMA,BARRANCA,BARRANCA,76776,1387,38573,1798,,
150202,LIMA,BARRANCA,PARAMONGA,25510,330,12623,439,,
150203,LIMA,BARRANCA,PATIVILCA,19697,383,10920,506,,
150204,LIMA,BARRANCA,SUPE,26727,488,12464,636,,
150205,LIMA,BARRANCA,SUPE PUERTO,14298,255,6562,333,,
150301,LIMA,CAJATAMBO,CAJATAMBO,2373,59,1277,78,,
150302,LIMA,CAJATAMBO,COPA,966,19,454,27,,
150303,LIMA,CAJATAMBO,GORGOR,1913,61,1476,85,,
150304,LIMA,CAJATAMBO,HUANCAPON,1142,20,594,30,,
150305,LIMA,CAJATAMBO,MANAS,1123,15,567,23,,
150401,LIMA,CANTA,CANTA,2730,46,1584,65,,
150402,LIMA,CANTA,ARAHUAY,699,5,468,20,,
150403,LIMA,CANTA,HUAMANTANGA,836,25,743,33,,
150404,LIMA,CANTA,HUAROS,900,17,451,25,,
150405,LIMA,CANTA,LACHAQUI,1090,18,526,29,,
150406,LIMA,CANTA,SAN BUENAVENTURA,668,8,319,14,,
150407,LIMA,CANTA,SANTA ROSA DE QUIVES,6484,200,4470,265,,
150501,LIMA,CANETE,SAN VICENTE DE CANETE,62198,1065,30095,1384,,
150502,LIMA,CANETE,ASIA,10452,204,5161,268,,
150503,LIMA,CANETE,CALANGO,2673,41,1383,60,,
150504,LIMA,CANETE,CERRO AZUL,9012,158,4404,209,,
150505,LIMA,CANETE,CHILCA,23077,332,8787,430,,
150506,LIMA,CANETE,COAYLLO,1165,17,658,30,,
150507,LIMA,CANETE,IMPERIAL,41617,852,21181,1096,,
150508,LIMA,CANETE,LUNAHUANA,4821,69,2900,100,,
150509,LIMA,CANETE,MALA,35251,685,19120,876,,
150510,LIMA,CANETE,NUEVO IMPERIAL,28265,499,12589,640,,
150511,LIMA,CANETE,PACARAN,1859,45,1009,52,,
150512,LIMA,CANETE,QUILMANA,17138,336,8491,430,,
150513,LIMA,CANETE,SAN ANTONIO,4864,85,2339,112,,
150514,LIMA,CANETE,SAN LUIS,14114,276,7060,355,,
150515,LIMA,CANETE,SANTA CRUZ DE FLORES,3401,41,1631,58,,
150516,LIMA,CANETE,ZUNIGA,1535,37,1046,40,,
150601,LIMA,HUARAL,HUARAL,111809,1853,55505,2402,,
150602,LIMA,HUARAL,ATAVILLOS ALTO,829,11,412,18,,
150603,LIMA,HUARAL,ATAVILLOS BAJO,1103,30,713,38,,
150604,LIMA,HUARAL,AUCALLAMA,22014,403,10966,517,,
150605,LIMA,HUARAL,CHANCAY,64072,1208,33832,1563,,
150606,LIMA,HUARAL,IHUARI,2410,41,1373,53,,
150607,LIMA,HUARAL,LAMPIAN,390,10,245,15,,
150608,LIMA,HUARAL,PACARAOS,1252,7,298,16,,
150609,LIMA,HUARAL,SAN MIGUEL DE ACOS,731,14,451,16,,
150610,LIMA,HUARAL,SANTA CRUZ DE ANDAMARCA,913,23,834,33,,
150611,LIMA,HUARAL,SUMBILCA,888,12,608,20,,
150612,LIMA,HUARAL,VEINTISIETE DE NOVIEMBRE,483,10,281,16,,
150701,LIMA,HUAROCHIRI,MATUCANA,4702,75,2116,100,,
150702,LIMA,HUAROCHIRI,ANTIOQUIA,1424,31,709,36,,
150703,LIMA,HUAROCHIRI,CALLAHUANCA,923,69,2282,96,,
150704,LIMA,HUAROCHIRI,CARAMPOMA,380,39,1015,53,,
150705,LIMA,HUAROCHIRI,CHICLA,4097,202,4112,261,,
150706,LIMA,HUAROCHIRI,SAN JOSE DE LOS CHORRILLOS,483,15,228,20,,
150707,LIMA,HUAROCHIRI,HUACHUPAMPA,686,43,1600,58,,
150708,LIMA,HUAROCHIRI,HUANZA,975,48,1513,68,,
150709,LIMA,HUAROCHIRI,HUAROCHIRI,1515,22,739,31,,
150710,LIMA,HUAROCHIRI,LAHUAYTAMBO,761,24,407,27,,
150711,LIMA,HUAROCHIRI,LANGA,1005,17,495,25,,
150712,LIMA,HUAROCHIRI,SAN PEDRO DE LARAOS,744,35,1302,45,,
150713,LIMA,HUAROCHIRI,MARIATANA,1571,40,736,49,,
150714,LIMA,HUAROCHIRI,RICARDO PALMA,7117,118,3408,149,,
150715,LIMA,HUAROCHIRI,SAN ANDRES DE TUPICOCHA,1509,30,705,38,,
150716,LIMA,HUAROCHIRI,SAN ANTONIO,1080,159,2929,197,,
150717,LIMA,HUAROCHIRI,SAN BARTOLOME,1374,38,1305,49,,
150718,LIMA,HUAROCHIRI,SAN DAMIAN,1371,23,676,34,,
150719,LIMA,HUAROCHIRI,SAN JUAN DE IRIS,768,38,990,54,,
150720,LIMA,HUAROCHIRI,SAN JUAN DE TANTARANCHE,398,19,264,26,,
150721,LIMA,HUAROCHIRI,SAN LORENZO DE QUINTI,1427,27,880,37,,
150722,LIMA,HUAROCHIRI,SAN MATEO,4620,119,2730,160,,
150723,LIMA,HUAROCHIRI,SAN MATEO DE OTAO,1674,23,927,38,,
150724,LIMA,HUAROCHIRI,CASTA,1120,28,745,45,,
150725,LIMA,HUAROCHIRI,SAN PEDRO DE HUANCAYRE,236,8,152,12,,
150726,LIMA,HUAROCHIRI,SANGALLAYA,729,9,327,19,,
150727,LIMA,HUAROCHIRI,SANTA CRUZ DE COCACHACRA,2869,51,1401,71,,
150728,LIMA,HUAROCHIRI,SANTA EULALIA,14253,204,6549,268,,
150729,LIMA,HUAROCHIRI,SANTIAGO DE ANCHUCAYA,354,14,292,20,,
150730,LIMA,HUAROCHIRI,SANTIAGO DE TUNA,476,15,446,22,,
150731,LIMA,HUAROCHIRI,SANTO DOMINGO DE LOS OLLEROS,3506,116,2574,156,,
150732,LIMA,HUAROCHIRI,SURCO,1675,28,1104,42,,
150801,LIMA,HUAURA,HUACHO,73526,943,33259,1249,,
150802,LIMA,HUAURA,AMBAR,2459,39,1522,60,,
150803,LIMA,HUAURA,CALETA DE CARQUIN,8674,129,3709,174,,
150804,LIMA,HUAURA,CHECRAS,1121,32,1039,47,,
150805,LIMA,HUAURA,HUALMAY,31302,514,15578,674,,
150806,LIMA,HUAURA,HUAURA,38493,655,19114,859,,
150807,LIMA,HUAURA,LEONCIO PRADO,2178,36,1100,47,,
150808,LIMA,HUAURA,PACCHO,1891,30,1265,47,,
150809,LIMA,HUAURA,SANTA LEONOR,877,26,841,36,,
150810,LIMA,HUAURA,SANTA MARIA,40275,596,18824,783,,
150811,LIMA,HUAURA,SAYAN,26139,460,13545,604,,
150812,LIMA,HUAURA,VEGUETA,27931,474,12406,627,,
150901,LIMA,OYON,OYON,13120,349,7930,462,,
150902,LIMA,OYON,ANDAJES,653,9,641,14,,
150903,LIMA,OYON,CAUJUL,633,17,596,27,,
150904,LIMA,OYON,COCHAMARCA,1226,33,870,47,,
150905,LIMA,OYON,NAVAN,968,39,677,58,,
150906,LIMA,OYON,PACHANGARA,2870,77,1918,107,,
151001,LIMA,YAUYOS,YAUYOS,1704,34,1620,49,,
151002,LIMA,YAUYOS,ALIS,1620,9,688,28,,
151003,LIMA,YAUYOS,ALLAUCA,1331,21,1221,36,,
151004,LIMA,YAUYOS,AYAVIRI,621,10,403,14,,
151005,LIMA,YAUYOS,AZANGARO,477,19,291,29,,
151006,LIMA,YAUYOS,CACRA,571,13,212,16,,
151007,LIMA,YAUYOS,CARANIA,181,10,217,12,,
151008,LIMA,YAUYOS,CATAHUASI,1201,16,552,25,,
151009,LIMA,YAUYOS,CHOCOS,908,23,673,31,,
151010,LIMA,YAUYOS,COCHAS,249,10,236,14,,
151011,LIMA,YAUYOS,COLONIA,1342,29,753,45,,
151012,LIMA,YAUYOS,HONGOS,360,6,224,12,,
151013,LIMA,YAUYOS,HUAMPARA,170,8,119,9,,
151014,LIMA,YAUYOS,HUANCAYA,641,8,779,20,,
151015,LIMA,YAUYOS,HUANGASCAR,729,11,317,20,,
151016,LIMA,YAUYOS,HUANTAN,1007,18,547,23,,
151017,LIMA,YAUYOS,HUANEC,526,9,284,18,,
151018,LIMA,YAUYOS,LARAOS,673,8,446,16,,
151019,LIMA,YAUYOS,LINCHA,512,20,496,33,,
151020,LIMA,YAUYOS,MADEAN,628,16,455,27,,
151021,LIMA,YAUYOS,MIRAFLORES,265,11,248,16,,
151022,LIMA,YAUYOS,OMAS,729,9,347,16,,
151023,LIMA,YAUYOS,PUTINZA,547,9,274,14,,
151024,LIMA,YAUYOS,QUINCHES,755,15,602,23,,
151025,LIMA,YAUYOS,QUINOCAY,511,12,315,20,,
151026,LIMA,YAUYOS,SAN JOAQUIN,193,10,244,14,,
151027,LIMA,YAUYOS,SAN PEDRO DE PILAS,335,8,231,14,,
151028,LIMA,YAUYOS,TANTA,547,16,276,31,,
151029,LIMA,YAUYOS,TAURIPAMPA,579,7,268,14,,
151030,LIMA,YAUYOS,TOMAS,624,23,608,30,,
151031,LIMA,YAUYOS,TUPE,575,12,370,22,,
151032,LIMA,YAUYOS,VINAC,1855,51,1010,67,,
151033,LIMA,YAUYOS,VITIS,373,16,376,25,,
160101,LORETO,MAYNAS,IQUITOS,168923,1964,71006,2721,,
160102,LORETO,MAYNAS,ALTO NANAY,3195,67,1340,89,,
160103,LORETO,MAYNAS,FERNANDO LORES,15519,495,9778,697,,
160104,LORETO,MAYNAS,INDIANA,12094,244,5333,343,,
160105,LORETO,MAYNAS,LAS AMAZONAS,9086,270,4730,373,,
160106,LORETO,MAYNAS,MAZAN,14194,339,6642,465,,
160107,LORETO,MAYNAS,NAPO,17346,338,7823,462,,
160108,LORETO,MAYNAS,PUNCHANA,89280,1642,43459,2309,,
160110,LORETO,MAYNAS,TORRES CAUSANA,5166,98,2497,136,,
160112,LORETO,MAYNAS,BELEN,73077,1422,35773,2003,,
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,145648,2931,74136,4124,,
160201,LORETO,ALTO AMAZONAS,YURIMAGUAS,97535,1402,33723,1954,,
160202,LORETO,ALTO AMAZONAS,BALSAPUERTO,16844,366,8727,487,,
160205,LORETO,ALTO AMAZONAS,JEBEROS,4688,121,2563,159,,
160206,LORETO,ALTO AMAZONAS,LAGUNAS,13965,320,6759,439,,
160210,LORETO,ALTO AMAZONAS,SANTA CRUZ,4339,99,2131,128,,
160211,LORETO,ALTO AMAZONAS,TENIENTE CESAR LOPEZ ROJAS,6331,148,3180,208,,
160301,LORETO,LORETO,NAUTA,33235,669,14425,939,,
160302,LORETO,LORETO,PARINARI,6629,192,3548,273,,
160303,LORETO,LORETO,TIGRE,7695,200,4070,276,,
160304,LORETO,LORETO,TROMPETEROS,10313,206,5101,294,,
160305,LORETO,LORETO,URARINAS,13671,316,7099,427,,
160401,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,23380,652,11725,911,,
160402,LORETO,MARISCAL RAMON CASTILLA,PEBAS,13190,454,8071,640,,
160403,LORETO,MARISCAL RAMON CASTILLA,YAVARI,10414,402,7561,574,,
160404,LORETO,MARISCAL RAMON CASTILLA,SAN PABLO,12895,357,7656,495,,
160501,LORETO,REQUENA,REQUENA,28284,717,13974,1006,,
160502,LORETO,REQUENA,ALTO TAPICHE,1733,61,1004,86,,
160503,LORETO,REQUENA,CAPELO,2725,126,2151,181,,
160504,LORETO,REQUENA,EMILIO SAN MARTIN,7035,205,3609,287,,
160505,LORETO,REQUENA,MAQUIA,8713,234,4049,335,,
160506,LORETO,REQUENA,PUINAHUA,4855,169,2903,231,,
160507,LORETO,REQUENA,SAQUENA,3539,129,2405,174,,
160508,LORETO,REQUENA,SOPLIN,685,20,331,34,,
160509,LORETO,REQUENA,TAPICHE,988,36,574,51,,
160510,LORETO,REQUENA,JENARO HERRERA,5197,125,2708,175,,
160511,LORETO,REQUENA,YAQUERANA,2349,114,1465,156,,
160601,LORETO,UCAYALI,CONTAMANA,27948,602,13007,850,,
160602,LORETO,UCAYALI,INAHUAYA,1844,76,1292,107,,
160603,LORETO,UCAYALI,PADRE MARQUEZ,3969,207,3688,287,,
160604,LORETO,UCAYALI,PAMPA HERMOSA,6591,191,5116,261,,
160605,LORETO,UCAYALI,SARAYACU,15617,456,7947,642,,
160606,LORETO,UCAYALI,VARGAS GUERRA,7817,280,4403,386,,
160701,LORETO,DATEM DEL MARANON,BARRANCA,15586,290,6544,397,,
160702,LORETO,DATEM DEL MARANON,CAHUAPANAS,7973,163,4157,215,,
160703,LORETO,DATEM DEL MARANON,MANSERICHE,9697,258,5116,360,,
160704,LORETO,DATEM DEL MARANON,MORONA,5098,311,6416,419,,
160705,LORETO,DATEM DEL MARANON,PASTAZA,6357,182,3136,258,,
160706,LORETO,DATEM DEL MARANON,ANDOAS,14759,299,5962,406,,
160801,LORETO,PUTUMAYO,PUTUMAYO,4449,71,2041,160,,
160802,LORETO,PUTUMAYO,ROSA PANDURO,631,19,342,29,,
160803,LORETO,PUTUMAYO,TENIENTE MANUEL CLAVERO,2955,81,2784,113,,
160804,LORETO,PUTUMAYO,YAGUAS,1513,25,579,49,,
170101,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,100184,1405,43056,1914,,
170102,MADRE DE DIOS,TAMBOPATA,INAMBARI,14521,207,5572,286,,
170103,MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,15930,135,3165,182,,
170104,MADRE DE DIOS,TAMBOPATA,LABERINTO,6655,124,2808,163,,
170201,MADRE DE DIOS,MANU,MANU,2748,53,1719,71,,
170202,MADRE DE DIOS,MANU,FITZCARRALD,1571,42,850,53,,
170203,MADRE DE DIOS,MANU,MADRE DE DIOS,7751,292,7268,401,,
170204,MADRE DE DIOS,MANU,HUEPETUHE,10905,99,3644,129,,
170301,MADRE DE DIOS,TAHUAMANU,INAPARI,3016,30,883,38,,
170302,MADRE DE DIOS,TAHUAMANU,IBERIA,6865,130,4795,174,,
170303,MADRE DE DIOS,TAHUAMANU,TAHUAMANU,3665,59,1836,82,,
180101,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,71688,873,28625,1151,-17.18940544,-70.93753501
180102,MOQUEGUA,MARISCAL NIETO,CARUMAS,2780,55,2796,79,-16.81014279,-70.69438757
180103,MOQUEGUA,MARISCAL NIETO,CUCHUMBAYA,892,31,1104,47,-16.75089383,-70.68593489
180104,MOQUEGUA,MARISCAL NIETO,SAMEGUA,9348,93,3247,127,-17.18145454,-70.90006337
180105,MOQUEGUA,MARISCAL NIETO,SAN CRISTOBAL,1993,48,2053,63,-16.7388487,-70.68327781
180106,MOQUEGUA,MARISCAL NIETO,TORATA,7198,76,2854,107,-17.07582045,-70.84439275
180201,MOQUEGUA,GENERAL SANCHEZ CERRO,OMATE,3564,55,2255,80,-16.67344204,-70.97047818
180202,MOQUEGUA,GENERAL SANCHEZ CERRO,CHOJATA,807,40,1237,54,-16.35963181,-70.73369293
180203,MOQUEGUA,GENERAL SANCHEZ CERRO,COALAQUE,1133,17,580,22,-16.63724658,-71.03915238
180204,MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUNA,3437,96,2413,127,-16.14265,-70.53157
180205,MOQUEGUA,GENERAL SANCHEZ CERRO,LA CAPILLA,735,17,1130,20,-16.75705192,-71.18141684
180206,MOQUEGUA,GENERAL SANCHEZ CERRO,LLOQUE,635,38,963,51,-16.3009838,-70.69305821
180207,MOQUEGUA,GENERAL SANCHEZ CERRO,MATALAQUE,528,17,603,23,-16.47846747,-70.82195004
180208,MOQUEGUA,GENERAL SANCHEZ CERRO,PUQUINA,2883,47,1277,71,-16.60851647,-71.21123323
180209,MOQUEGUA,GENERAL SANCHEZ CERRO,QUINISTAQUILLAS,591,25,712,31,-16.73947819,-70.88195996
180210,MOQUEGUA,GENERAL SANCHEZ CERRO,UBINAS,2086,50,1867,65,-16.38606721,-70.85615155
180211,MOQUEGUA,GENERAL SANCHEZ CERRO,YUNGA,988,59,1167,78,-16.19504658,-70.67805438
180301,MOQUEGUA,ILO,ILO,72654,1022,33088,1387,-17.64567054,-71.34518041
180302,MOQUEGUA,ILO,EL ALGARROBAL,3759,7,165,14,-17.62274057,-71.26872316
180303,MOQUEGUA,ILO,PACOCHA,5041,37,1749,51,-17.61440365,-71.33704812
190101,PASCO,PASCO,CHAUPIMARCA,27301,520,10978,658,,
190102,PASCO,PASCO,HUACHON,4645,112,2023,147,,
190103,PASCO,PASCO,HUARIACA,7180,176,3665,234,,
190104,PASCO,PASCO,HUAYLLAY,9810,261,4927,360,,
190105,PASCO,PASCO,NINACACA,4111,94,1514,125,,
190106,PASCO,PASCO,PALLANCHACRA,1832,124,2106,160,,
190107,PASCO,PASCO,PAUCARTAMBO,11681,438,10842,593,,
190108,PASCO,PASCO,SAN FCO DE ASIS DE YARUSYACAN,4770,168,4241,216,,
190109,PASCO,PASCO,SIMON BOLIVAR,13002,253,5140,337,,
190110,PASCO,PASCO,TICLACAYAN,3440,251,5717,328,,
190111,PASCO,PASCO,TINYAHUARCO,7044,138,2713,186,,
190112,PASCO,PASCO,VICCO,3572,45,1050,61,,
190113,PASCO,PASCO,YANACANCHA,31249,588,12560,791,,
190201,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,12085,258,5835,348,,
